Paper_No,Molecular_Markers,Paper_ID,Year_sampled,IUCN_Category3,Sampling_size,Latitude,Latitude_Clade,Longitude,He,He_fit
P1_1,AFLP,Zhang_et_al,2009,Common,3,-32.95,South_temper,-60.67,1,0.231558142
P1_2,AFLP,Zhang_et_al,2009,Common,10,-3.12,South_tropical,-59.88,0.644,0.233711967
P1_3,AFLP,Zhang_et_al,2009,Common,31,-3.1,South_tropical,-60.05,0.351,0.227449885
P1_4,AFLP,Zhang_et_al,2009,Common,14,-3.78,South_tropical,-73.3,0.495,0.237926098
P1_5,AFLP,Zhang_et_al,2009,Common,36,29.62,North_temper,106.52,0.398,0.198231351
P1_6,AFLP,Zhang_et_al,2009,Common,31,25,North_temper,102.63,0.323,0.121399132
P1_7,AFLP,Zhang_et_al,2009,Common,29,22.85,North_tropical,108.23,0.534,0.225731979
P1_8,AFLP,Zhang_et_al,2009,Common,28,22.83,North_tropical,108.27,0.578,0.226385426
P1_9,AFLP,Zhang_et_al,2009,Common,31,24.47,North_temper,118.08,0.49,0.221468144
P1_10,AFLP,Zhang_et_al,2009,Common,34,-6.48,South_tropical,106.83,0.499,0.219007942
P1_11,AFLP,Zhang_et_al,2009,Common,41,-7.27,South_tropical,110.45,0.689,0.210649521
P1_12,AFLP,Zhang_et_al,2009,Common,28,6.9,North_tropical,79.85,0.442,0.235107649
P1_13,AFLP,Zhang_et_al,2009,Common,25,0.1,North_tropical,34.75,0.08,0.20144847
P3_1,AFLP,Han_et_al,2011,Common,24,24.38,North_temper,102.79,0.211,0.142957261
P3_2,AFLP,Han_et_al,2011,Common,24,24.35,North_temper,102.8,0.237,0.142297871
P3_3,AFLP,Han_et_al,2011,Common,24,24.32,North_temper,102.8,0.226,0.179280076
P3_4,AFLP,Han_et_al,2011,Common,24,24.31,North_temper,102.77,0.177,0.178115253
P3_5,AFLP,Han_et_al,2011,Common,24,24.6,North_temper,102.95,0.2,0.194792181
P3_6,AFLP,Han_et_al,2011,Common,24,24.51,North_temper,102.93,0.214,0.197186408
P3_7,AFLP,Han_et_al,2011,Common,24,24.42,North_temper,102.9,0.206,0.147954898
P3_8,AFLP,Han_et_al,2011,Common,24,24.39,North_temper,102.82,0.199,0.144252832
P4_1,ISSR,Song_et_al,2003,Common,59,26.8211,North_temper,113.475,0.188,0.21192777
P4_2,ISSR,Song_et_al,2003,Common,7,23.1842,North_tropical,114.4377,0.122,0.224523068
P4_3,ISSR,Song_et_al,2003,Common,24,21.3638,North_tropical,110.3995,0.209,0.208593309
P4_4,ISSR,Song_et_al,2003,Common,19,23.8651,North_temper,113.5224,0.141,0.235936406
P4_5,ISSR,Song_et_al,2003,Common,12,21.9058,North_tropical,110.8555,0.171,0.235215396
P4_6,ISSR,Song_et_al,2003,Common,17,21.9388,North_tropical,110.911,0.092,0.234470867
P4_7,ISSR,Song_et_al,2003,Common,22,22.9877,North_tropical,116.225,0.145,0.207142484
P4_8,ISSR,Song_et_al,2003,Common,12,23.2907,North_tropical,113.9124,0.167,0.231861088
P4_9,ISSR,Song_et_al,2003,Common,47,24.1237,North_temper,117.5441,0.197,0.236750254
P4_10,ISSR,Song_et_al,2003,Common,6,31.119,North_temper,121.0176,0.106,0.122514341
P6_1,ISSR,Abbasi_et_al,2019,Common,10,34.307,North_temper,50.554,0.136,0.175461612
P6_2,ISSR,Abbasi_et_al,2019,Common,10,35.168,North_temper,47.804,0.135,0.046298066
P6_3,ISSR,Abbasi_et_al,2019,Common,10,36.961,North_temper,46.105,0.117,0.183308815
P6_4,ISSR,Abbasi_et_al,2019,Common,10,31.864,North_temper,51.156,0.12,0.182786336
P6_5,ISSR,Abbasi_et_al,2019,Common,10,31.045,North_temper,50.817,0.125,0.174658516
P6_6,ISSR,Abbasi_et_al,2019,Common,10,32.372,North_temper,51.225,0.22,0.201785394
P6_7,ISSR,Abbasi_et_al,2019,Common,10,32.552,North_temper,51.513,0.224,0.201115476
P6_8,ISSR,Abbasi_et_al,2019,Common,10,37.113,North_temper,49.533,0.117,0.21614798
P6_9,ISSR,Abbasi_et_al,2019,Common,10,31.955,North_temper,50.718,0.123,0.179166844
P6_10,ISSR,Abbasi_et_al,2019,Common,10,30.657,North_temper,51.601,0.134,0.18011933
P6_11,ISSR,Abbasi_et_al,2019,Common,10,31.456,North_temper,48.932,0.135,0.237857771
P6_12,ISSR,Abbasi_et_al,2019,Common,10,35.492,North_temper,48.452,0.117,0.190035183
P6_13,ISSR,Abbasi_et_al,2019,Common,10,29.828,North_temper,52.043,0.134,0.173370202
P6_14,ISSR,Abbasi_et_al,2019,Common,10,32.195,North_temper,48.255,0.137,0.230185022
P6_15,ISSR,Abbasi_et_al,2019,Common,10,29.661,North_temper,51.983,0.134,0.191420144
P6_16,ISSR,Abbasi_et_al,2019,Common,10,32.382,North_temper,48.41,0.117,0.204207603
P6_17,ISSR,Abbasi_et_al,2019,Common,10,32.206,North_temper,49.445,0.134,0.204037768
P6_18,ISSR,Abbasi_et_al,2019,Common,10,31.476,North_temper,48.42,0.137,0.229475845
P6_19,ISSR,Abbasi_et_al,2019,Common,10,31.719,North_temper,47.991,0.126,0.232871934
P6_20,ISSR,Abbasi_et_al,2019,Common,10,31.673,North_temper,48.824,0.117,0.212536082
P6_21,ISSR,Abbasi_et_al,2019,Common,10,35.52,North_temper,46.177,0.134,0.165207795
P6_22,ISSR,Abbasi_et_al,2019,Common,10,29.696,North_temper,52.054,0.177,0.18128018
P6_23,ISSR,Abbasi_et_al,2019,Common,10,37.947,North_temper,47.528,0.134,0.153209154
P6_24,ISSR,Abbasi_et_al,2019,Common,10,36.268,North_temper,59.253,0.125,0.174661421
P11_1,ISSR,Wang_et_al,2004,Common,22,40.15,North_temper,-8.85,0.12,0.207278337
P11_2,ISSR,Wang_et_al,2004,Common,21,48.35,North_temper,-4.567,0.19,0.198268084
P11_3,ISSR,Wang_et_al,2004,Common,21,50.367,North_temper,-4.133,0.2,0.213417243
P11_4,ISSR,Wang_et_al,2004,Common,20,51.667,North_temper,-4.917,0.16,0.196405396
P13_1,AFLP,Chen_et_al,2006,Rare,32,30.668,North_temper,113.718,0.079,0.127468077
P13_2,AFLP,Chen_et_al,2006,Rare,25,30.335,North_temper,113.825,0.022,0.13102284
P13_3,AFLP,Chen_et_al,2006,Rare,32,30.771,North_temper,114.478,0.056,0.132975293
P13_4,AFLP,Chen_et_al,2006,Rare,32,30.204,North_temper,114.735,0.007,0.170687864
P13_5,AFLP,Chen_et_al,2006,Rare,31,30.026,North_temper,116.264,0.11,0.204214805
P13_6,AFLP,Chen_et_al,2006,Rare,30,30.714,North_temper,117.164,0.08,0.203141952
P13_7,AFLP,Chen_et_al,2006,Rare,32,31.622,North_temper,119.495,0.028,0.121303983
P13_8,AFLP,Chen_et_al,2006,Rare,29,31.415,North_temper,120.73,0.016,0.143606468
P15_1,ISSR,Chen_et_al,2004,Rare,27,29.667,North_temper,112.474,0.009,0.073055081
P15_2,ISSR,Chen_et_al,2004,Rare,34,30.838,North_temper,114.083,0.007,0.123505963
P15_3,ISSR,Chen_et_al,2004,Rare,28,30.036,North_temper,114.243,0.058,0.15477645
P15_4,ISSR,Chen_et_al,2004,Rare,31,30.315,North_temper,114.521,0.066,0.178081473
P15_5,ISSR,Chen_et_al,2004,Rare,24,30.423,North_temper,114.552,0.053,0.127079742
P15_6,ISSR,Chen_et_al,2004,Rare,30,30.269,North_temper,114.599,0.045,0.176223056
P15_7,ISSR,Chen_et_al,2004,Rare,27,30.076,North_temper,115.233,0.061,0.156923031
P15_8,ISSR,Chen_et_al,2004,Rare,29,30.621,North_temper,117.179,0.03,0.180056637
P15_9,ISSR,Chen_et_al,2004,Rare,28,30.771,North_temper,117.405,0.066,0.195046659
P15_10,ISSR,Chen_et_al,2004,Rare,22,31.684,North_temper,119.844,0.055,0.136440306
P15_11,ISSR,Chen_et_al,2004,Rare,22,31.431,North_temper,120.749,0.007,0.144324259
P20_1,ISSR,Tian_et_al,2007,Rare,33,29.77,North_temper,106.977,0.209,0.207590887
P20_2,ISSR,Tian_et_al,2007,Rare,16,29.695,North_temper,107.165,0.201,0.204641123
P20_3,ISSR,Tian_et_al,2007,Rare,29,29.908,North_temper,107.741,0.238,0.216512689
P20_4,ISSR,Tian_et_al,2007,Rare,35,30.206,North_temper,107.976,0.242,0.221223579
P20_5,ISSR,Tian_et_al,2007,Rare,26,30.297,North_temper,108.109,0.202,0.220235096
P20_6,ISSR,Tian_et_al,2007,Rare,34,30.956,North_temper,109.255,0.239,0.207108944
P20_7,ISSR,Tian_et_al,2007,Rare,27,31.042,North_temper,109.77,0.234,0.208010555
P20_8,ISSR,Tian_et_al,2007,Rare,34,31,North_temper,110.681,0.235,0.214697442
P20_9,ISSR,Tian_et_al,2007,Rare,23,30.873,North_temper,110.932,0.229,0.221789374
P21_1,AFLP,Guo_et_al,2017,Rare,17,26.534,North_temper,99.959,0.113,0.155979336
P21_2,AFLP,Guo_et_al,2017,Rare,6,26.482,North_temper,99.928,0.082,0.157402595
P21_3,AFLP,Guo_et_al,2017,Rare,17,27.739,North_temper,100.783,0.087,0.163322377
P21_4,AFLP,Guo_et_al,2017,Rare,7,26.889,North_temper,100.232,0.082,0.163250144
P21_5,AFLP,Guo_et_al,2017,Rare,18,26.616,North_temper,100.177,0.099,0.156442197
P21_6,AFLP,Guo_et_al,2017,Rare,11,25.273,North_temper,102.881,0.057,0.174525182
P21_7,AFLP,Guo_et_al,2017,Rare,18,26.569,North_temper,104.614,0.095,0.174263497
P21_8,AFLP,Guo_et_al,2017,Rare,19,24.717,North_temper,103.416,0.096,0.178415034
P21_9,AFLP,Guo_et_al,2017,Rare,19,23.068,North_tropical,106.417,0.095,0.189952686
P21_10,AFLP,Guo_et_al,2017,Rare,19,23.167,North_tropical,106.355,0.098,0.189747351
P21_11,AFLP,Guo_et_al,2017,Rare,19,23.336,North_tropical,106.518,0.085,0.22722004
P21_12,AFLP,Guo_et_al,2017,Rare,20,24.144,North_temper,107.991,0.064,0.208295545
P21_13,AFLP,Guo_et_al,2017,Rare,18,24.711,North_temper,109.68,0.074,0.189327258
P21_14,AFLP,Guo_et_al,2017,Rare,19,25.108,North_temper,109.733,0.068,0.206829395
P22_1,AFLP,Deng_et_al,2006,Common,16,-16.267,South_tropical,145.3,0.107,0.234908592
P22_2,AFLP,Deng_et_al,2006,Common,16,9.217,North_tropical,99.85,0.06,0.233331981
P22_3,AFLP,Deng_et_al,2006,Common,14,8.317,North_tropical,98.433,0.115,0.247011728
P22_4,AFLP,Deng_et_al,2006,Common,16,10.167,North_tropical,98.75,0.074,0.239218969
P22_5,AFLP,Deng_et_al,2006,Common,16,9.883,North_tropical,98.55,0.122,0.243946608
P22_6,AFLP,Deng_et_al,2006,Common,16,19.933,North_tropical,110.567,0.056,0.205591865
P22_7,AFLP,Deng_et_al,2006,Common,16,19.833,North_tropical,109.5,0.039,0.215798196
P22_8,AFLP,Deng_et_al,2006,Common,16,22.533,North_tropical,114.05,0.033,0.227765424
P22_9,AFLP,Deng_et_al,2006,Common,16,21.333,North_tropical,110.633,0.054,0.177525028
P22_10,AFLP,Deng_et_al,2006,Common,16,20.9,North_tropical,110.067,0.049,0.196160581
P22_11,AFLP,Deng_et_al,2006,Common,16,6.05,North_tropical,80.85,0.22,0.250571857
P24_1,AFLP,Jung_et_al,2011,Rare,14,17.917,North_tropical,73.75,0.17,0.195942382
P24_2,AFLP,Jung_et_al,2011,Rare,34,17.921,North_tropical,73.675,0.2,0.197962501
P24_3,AFLP,Jung_et_al,2011,Rare,38,17.927,North_tropical,73.809,0.239,0.196171454
P24_4,AFLP,Jung_et_al,2011,Rare,53,17.911,North_tropical,73.82,0.21,0.194081207
P24_5,AFLP,Jung_et_al,2011,Rare,15,17.93,North_tropical,73.825,0.218,0.196356661
P29_1,ISSR,Baggio_et_al,2001,Rare,20,-24.278,South_temper,-52.152,0.167,0.20166744
P29_2,ISSR,Baggio_et_al,2001,Rare,20,-23.946,South_temper,-51.883,0.165,0.202950589
P29_3,ISSR,Baggio_et_al,2001,Rare,17,-25.368,South_temper,-48.701,0.175,0.214438525
P29_4,ISSR,Baggio_et_al,2001,Rare,16,-25.368,South_temper,-48.701,0.16,0.214438525
P29_5,ISSR,Baggio_et_al,2001,Rare,16,-24.836,South_temper,-48.588,0.156,0.204948275
P30_1,ISSR,Zhang_et_al,2005,Common,19,24.283,North_temper,123.867,0.159,0.19833801
P30_2,ISSR,Zhang_et_al,2005,Common,12,24.3,North_temper,123.85,0.103,0.198396452
P30_3,ISSR,Zhang_et_al,2005,Common,18,24.417,North_temper,124.167,0.162,0.198081007
P30_4,ISSR,Zhang_et_al,2005,Common,20,19.917,North_tropical,110.583,0.143,0.121835718
P30_5,ISSR,Zhang_et_al,2005,Common,19,18.483,North_tropical,109.75,0.171,0.237393958
P30_6,ISSR,Zhang_et_al,2005,Common,20,18.333,North_tropical,109.5,0.177,0.22786404
P30_7,ISSR,Zhang_et_al,2005,Common,17,22.8,North_tropical,115.017,0.176,0.235432538
P30_8,ISSR,Zhang_et_al,2005,Common,19,23.033,North_tropical,120.133,0.165,0.189277959
P30_9,ISSR,Zhang_et_al,2005,Common,13,13.567,North_tropical,100.433,0.175,0.211118452
P30_10,ISSR,Zhang_et_al,2005,Common,20,9.217,North_tropical,99.833,0.186,0.232542292
P30_11,ISSR,Zhang_et_al,2005,Common,16,1.367,North_tropical,103.95,0.179,0.227768641
P30_12,ISSR,Zhang_et_al,2005,Common,17,8.317,North_tropical,98.417,0.189,0.247203948
P30_13,ISSR,Zhang_et_al,2005,Common,20,8.3,North_tropical,98.433,0.196,0.247215619
P30_14,ISSR,Zhang_et_al,2005,Common,10,6.067,North_tropical,80.8,0.107,0.250322546
P30_15,ISSR,Zhang_et_al,2005,Common,20,-16,South_tropical,145.3,0.134,0.240627209
P30_16,ISSR,Zhang_et_al,2005,Common,14,-16.267,South_tropical,145.433,0.114,0.233529039
P31_1,AFLP,Schierenbeck_&_Phipps,2008,Rare,23,39.9662,North_temper,-123.0181,0.3802,0.157911867
P31_2,AFLP,Schierenbeck_&_Phipps,2008,Rare,20,39.9226,North_temper,-123.0553,0.2261,0.158120224
P31_3,AFLP,Schierenbeck_&_Phipps,2008,Rare,8,39.9085,North_temper,-123.0553,0.2829,0.159918024
P31_4,AFLP,Schierenbeck_&_Phipps,2008,Rare,6,39.9374,North_temper,-123.0553,0.1034,0.158120224
P31_5,AFLP,Schierenbeck_&_Phipps,2008,Rare,23,39.8796,North_temper,-122.9995,0.3788,0.163711422
P31_6,AFLP,Schierenbeck_&_Phipps,2008,Rare,12,39.894,North_temper,-122.9995,0.3903,0.163499684
P31_7,AFLP,Schierenbeck_&_Phipps,2008,Rare,3,47.104,North_temper,-122.493,0.2605,0.179990725
P31_8,AFLP,Schierenbeck_&_Phipps,2008,Rare,21,47.6656,North_temper,-113.806,0.372,0.135167824
P31_9,AFLP,Schierenbeck_&_Phipps,2008,Rare,3,46.9127,North_temper,-116.7228,0.069,0.174298328
P32_1,AFLP,Wang_et_al,2016,Common,15,27.975,North_temper,120.761,0.0016,0.19406669
P32_2,AFLP,Wang_et_al,2016,Common,10,28.386,North_temper,119.819,0.0022,0.207804945
P32_3,AFLP,Wang_et_al,2016,Common,15,28.673,North_temper,121.427,0.0012,0.206954215
P32_4,AFLP,Wang_et_al,2016,Common,9,29.559,North_temper,106.628,0.0017,0.194733762
P32_5,AFLP,Wang_et_al,2016,Common,15,29.897,North_temper,121.559,0.001,0.175902546
P32_6,AFLP,Wang_et_al,2016,Common,13,30.313,North_temper,120.39,0.0016,0.16664663
P32_7,AFLP,Wang_et_al,2016,Common,10,30.549,North_temper,114.419,0.0018,0.135365919
P34_1,ISSR,Wang_et_al,2007,Common,29,31.345,North_temper,114.518,0.24,0.208569699
P34_2,ISSR,Wang_et_al,2007,Common,30,30.202,North_temper,114.732,0.22,0.170569279
P34_3,ISSR,Wang_et_al,2007,Common,32,29.237,North_temper,115.892,0.28,0.165772142
P34_4,ISSR,Wang_et_al,2007,Common,35,29.952,North_temper,116.023,0.24,0.195318714
P34_5,ISSR,Wang_et_al,2007,Common,44,31.878,North_temper,117.202,0.23,0.166621873
P34_6,ISSR,Wang_et_al,2007,Common,26,31.115,North_temper,120.918,0.23,0.137890634
P37_1,AFLP,Janiak_et_al,2012,Rare,50,50.937,North_temper,16.499,0.203,0.235427979
P37_2,AFLP,Janiak_et_al,2012,Rare,40,51.452,North_temper,21.952,0.213,0.242493947
